Nombre;Descripcion;Categoria;Etiquetas;Precio;URL FOTO
Shampoo Savital Multio Oleo;Sobre x 350 ml;Cuidado Personal;Shampoo;10800;
Acondicionador Savital Biotina ;Botella x 530 ml;Cuidado Personal;Shampoo;14600;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3498696-1000-1000/7702006299145.jpg?v=637236914752530000
Acondicionador Savital Keratina ;Botella x 530 ml;Cuidado Personal;Shampoo;14600;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503482-750-750/7702006299084.jpg?v=637249840049370000
Acondicionador Savital Colageno;Botella x 530 ml;Cuidado Personal;Shampoo;14600;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503480-750-750/7702006299398.jpg?v=637249840029970000
Acondicionador Savital Multivitaminas;Botella x 530 ml;Cuidado Personal;Shampoo;14600;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3351353-1000-1000/7702006202923.jpg?v=636772038676000000
Acondicionador Savital Aceite de Argan ;Botella x 530 ml;Cuidado Personal;Shampoo;14600;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503483-1000-1000/7702006299176.jpg?v=637249840049830000
Acondicionador Savital Multio Oleo;Botella x 530 ml;Cuidado Personal;Shampoo;14600;https://metrocolombiafood.vteximg.com.br/arquivos/ids/285271-750-750/7702006206006.jpg?v=637360487097270000
Crema de Peinar Savital Multivitaminas;Botella x 275 ml;Cuidado Personal;Shampoo;10900;https://unidrogas.vteximg.com.br/arquivos/ids/366448-1000-1000/7702006202886.jpg?v=637376884184400000
Crema de Peinar Savital Colageno;Botella x 275 ml;Cuidado Personal;Shampoo;10900;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3401408-1000-1000/7702006299381.jpg?v=636893222628730000
Crema de Peinar Savital Keratina;Botella x 275 ml;Cuidado Personal;Shampoo;10900;https://unidrogas.vteximg.com.br/arquivos/ids/312613-1000-1000/7702354931650.jpg?v=637264172979300000
Crema de Peinar Savital Aceite de Argan;Botella x 275 ml;Cuidado Personal;Shampoo;10400;https://i0.wp.com/mercaenlinea.nyc3.digitaloceanspaces.com/2019/07/savital_crema_para_peinar_argan.jpg?fit=750%2C750&ssl=1
Shampoo Pantene Brillo Extremo;Botella x 400 ml;Cuidado Personal;Shampoo;17900;https://exitocol.vtexassets.com/arquivos/ids/2457708-800-auto?width=800&height=auto&aspect=true
Shampoo Pantene Micelar Purifica & Hidrata;Botella x 400 ml;Cuidado Personal;Shampoo;17900;https://www.corporacionliderperu.com/shop/34457-large_default/pantene-shampoo-x-400-ml-micelar-purifica-hidrata.jpg
Shampoo Pantene Rizos Definidos;Botella x 400 ml;Cuidado Personal;Shampoo;17900;https://exitocol.vtexassets.com/arquivos/ids/2457800-800-auto?width=800&height=auto&aspect=true
Shampoo Pantene Liso Extremo;Botella x 400 ml;Cuidado Personal;Shampoo;17900;https://exitocol.vtexassets.com/arquivos/ids/2457864-800-auto?width=800&height=auto&aspect=true
Shampoo Pantene Control Caida;Botella x 400 ml;Cuidado Personal;Shampoo;17900;https://www.sanborns.com.mx/imagenes-sanborns-ii/1200/7501001303464.jpg
Shampoo Pantene Restauracion;Botella x 400 ml;Cuidado Personal;Shampoo;17900;https://d26lpennugtm8s.cloudfront.net/stores/001/154/451/products/7500435012041-91-948c3aadbae567528115908661541061-1024-1024.jpg
Shampoo Pantene Fuerza ;Botella x 400 ml;Cuidado Personal;Shampoo;17900;https://exitocol.vtexassets.com/arquivos/ids/2457992-800-auto?width=800&height=auto&aspect=true
Shampoo Pantene Brillo Extremo;Botella x 200 ml;Cuidado Personal;Shampoo;11400;https://azcdn.odyssey.pgsitecore.com/es-co/-/media/Pantene_CO/Images/Callouts/Colossus/BE_SH_product_640x752.jpg?h=752&la=es-CO&w=640&v=1-202007061436
Shampoo Pantene Micelar Purifica & Hidrata;Botella x 200 ml;Cuidado Personal;Shampoo;11400;https://cdn1.totalcode.net/la14/product-zoom/es/shampoo-pantene-pro_v-micelar-purifica-%26-hidrata-200-ml.-5.jpg
Shampoo Pantene Rizos Definidos;Botella x 200 ml;Cuidado Personal;Shampoo;11400;https://www.siemprefarmacias.com.ar/contenido/productos/original/1587833259-9165.jpeg
Shampoo Pantene Liso Extremo;Botella x 200 ml;Cuidado Personal;Shampoo;11400;https://pasteur.vteximg.com.br/arquivos/ids/171211-1000-1000/Cuidado-Personal-Cuidado-del-Cabello_Pantene_Pasteur_243610_unica_1.jpg?v=636525824351100000
Shampoo Pantene Control Caida;Botella x 200 ml;Cuidado Personal;Shampoo;11400;https://pasteur.vteximg.com.br/arquivos/ids/171214-1000-1000/Cuidado-Personal-Cuidado-del-Cabello_Pantene_Pasteur_243636_unica_1.jpg?v=636525824384000000
Shampoo Pantene Restauracion;Botella x 200 ml;Cuidado Personal;Shampoo;12100;https://colsubsidio.vteximg.com.br/arquivos/ids/163326-1200-1200/7501006721119.jpg?v=637219656420400000
Shampoo Pantene Fuerza ;Botella x 200 ml;Cuidado Personal;Shampoo;11400;https://smedia.webcollage.net/rwvfp/wc/cp/28226810_legacycode/module/copantenespanish/_cp/products/1524489033669/tab-15e33281-51bd-471e-90c3-4142b16b0783/0751d8af-ca7e-4c41-9a07-7a22f2185e6c.jpg.w480.jpg
Acondicionador Pantene Restauracion;Botella x 400 ml;Cuidado Personal;Shampoo;16800;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3472185-1000-1000/7501006721317.jpg?v=637115165015900000
Acondicionador Pantene Liso Extremo;Botella x 400 ml;Cuidado Personal;Shampoo;16800;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3472198-1000-1000/7501001165253.jpg?v=637115171207770000
Shampoo Sedal Keratina;Botella x 650 ml;Cuidado Personal;Shampoo;19600;https://lacolonia.vteximg.com.br/arquivos/ids/216824-500-500/360-Belleza-y-Cuidado-Personal-Cuidado-del-Cabello-Shampoo_7506306233164_1.jpg?v=637151523213830000
Shampoo Sedal Ceramidas;Botella x 650 ml;Cuidado Personal;Shampoo;19600;https://www.sedal.com.mx/content/dam/unilever/sunsilk/mexico/pack_shot/front/hair_care/wash_and_care/sedal_ceramidas/fop_1000ml_ceramidas_shampoo-906049-png.png
Shampoo Sedal Keratina;Botella x 340 ml;Cuidado Personal;Shampoo;13300;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503493-750-750/7506306237940.jpg?v=637249840108530000
Shampoo Sedal Ceramidas;Botella x 340 ml;Cuidado Personal;Shampoo;13300;https://images-na.ssl-images-amazon.com/images/I/61FaoIGLYaL._SY355_.jpg
Shampoo Sedal Rizos Definidos;Botella x 340 ml;Cuidado Personal;Shampoo;13300;https://static.frecuento.com//medias/40316837-01-BASEIMAGE-Midres?context=bWFzdGVyfGZyZWN1ZW50b3w4MDkyNHxpbWFnZS9qcGVnfGZyZWN1ZW50by9oZWIvaDcxLzkwMjI3NDIyOTg2NTQuanBnfDkwZGEyMDg5NTQwN2Q2NWZkM2RjOTE0OWMwMmNmNTE5NzM0NWZiYWVjM2RlNjUyYjZhMjU1NDY2ZTM0MDU4NDg
Shampoo Sedal Liso Perfecto ;Botella x 340 ml;Cuidado Personal;Shampoo;13300;https://static.frecuento.com//medias/40316837-01-BASEIMAGE-Midres?context=bWFzdGVyfGZyZWN1ZW50b3w4MDkyNHxpbWFnZS9qcGVnfGZyZWN1ZW50by9oZWIvaDcxLzkwMjI3NDIyOTg2NTQuanBnfDkwZGEyMDg5NTQwN2Q2NWZkM2RjOTE0OWMwMmNmNTE5NzM0NWZiYWVjM2RlNjUyYjZhMjU1NDY2ZTM0MDU4NDg
Shampoo Sedal Restauracion Instantanea;Botella x 340 ml;Cuidado Personal;Shampoo;13300;https://www.sedal.com.mx/content/dam/unilever/sunsilk/mexico/pack_shot/front/hair_care/wash_and_care/sedal_restauraci%C3%B3n_instantanea/fop_1000_ml_restauracion_instantanea_shampoo-906046-png.png
Shampoo Sedal By Yuya Nutricion Micelar;Botella x 340 ml;Cuidado Personal;Shampoo;13300;https://supermercadocomunal.com/3223-large_default/shampoo-sedal-yuya-micelar-340-ml.jpg
Shampoo Sedal By Yuya Nutricion Detox;Botella x 340 ml;Cuidado Personal;Shampoo;13300;https://exitocol.vtexassets.com/arquivos/ids/184550/Shampoo-Pureza-Detox-Yuya-1116730_a.jpg?v=636987915840970000
Shampoo Sedal Keratina;Botella x 190 ml;Cuidado Personal;Shampoo;8800;https://http2.mlstatic.com/shampoo-sedal-keratina-ml-a-52-D_NQ_NP_648678-MCO42183682644_062020-F.jpg
Shampoo Sedal Ceramidas;Botella x 190 ml;Cuidado Personal;Shampoo;8800;https://www.sedal.com.co/content/dam/unilever/sunsilk/argentina/pack_shot/front/hair_care/wash_and_care/sedal_ceramidas_shampoo_190ml/ceramidas-190ml-fop-sh-755196.png
Shampoo Sedal Rizos Definidos;Botella x 190 ml;Cuidado Personal;Shampoo;8800;https://asset-americas.unileversolutions.com/content/dam/unilever/sunsilk/mexico/pack_shot/front/hair_care/wash_and_care/sedal_rizos_definidos/7506306237391_sunsilk_defined_curls_190_shampoo_fop-888857-png.png.ulenscale.460x460.png
Shampoo Sedal Liso Perfecto ;Botella x 190 ml;Cuidado Personal;Shampoo;8800;https://www.sedal.com.mx/content/dam/unilever/sunsilk/mexico/pack_shot/front/hair_care/wash_and_care/sedal_liso_perfecto/7506306237384_sunsilk_perfectly_smooth_190_shampoo_fop-888856-png.png
